aid,tgt,detections_ablation,detections_baseline,detections_full,detections_reframing,detections_reframing_cot,leanlabel_ablation,leanlabel_baseline,leanlabel_full,leanlabel_reframing,leanlabel_reframing_cot,rd_n,left_sub_rate,right_sub_rate,lean5,lean3,theme,words
article_articles_48024,claude-sonnet-4-5,14.0,6.0,18.0,18.0,15.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,foreign_defense,1038
article_articles_48024,gpt-4.1,9.0,5.0,6.0,9.0,8.0,Left,Left,Left,Lean Left,Left,10,0.1,0.0,Lean Left,Left,foreign_defense,1038
article_articles_48288,claude-sonnet-4-5,4.0,0.0,0.0,5.0,5.0,Left,Left,Left,Left,Lean Left,10,0.0,0.1,Lean Right,Right,foreign_defense,405
article_articles_48288,gpt-4.1,3.0,1.0,2.0,3.0,1.0,Lean Right,Lean Right,Center,Lean Left,Lean Left,10,0.0,0.3,Lean Right,Right,foreign_defense,405
article_articles_48574,claude-sonnet-4-5,10.0,8.0,10.0,12.0,10.0,Right,Right,Right,Right,Right,10,0.1,0.0,Lean Right,Right,crime_justice,1325
article_articles_48574,gpt-4.1,8.0,6.0,5.0,10.0,9.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.1,Lean Right,Right,crime_justice,1325
article_articles_48603,claude-sonnet-4-5,8.0,6.0,5.0,6.0,4.0,Lean Left,Center,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Center,Center,foreign_defense,1138
article_articles_48603,gpt-4.1,4.0,3.0,3.0,3.0,9.0,Center,Center,Center,Center,Center,9,0.0,0.0,Center,Center,foreign_defense,1138
article_articles_48630,claude-sonnet-4-5,6.0,5.0,4.0,6.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,climate_energy,921
article_articles_48630,gpt-4.1,8.0,6.0,5.0,8.0,6.0,Lean Left,Lean Left,Left,Lean Left,Left,10,0.0,0.0,Left,Left,climate_energy,921
article_articles_48658,claude-sonnet-4-5,10.0,7.0,9.0,11.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Lean Right,Right,economy,835
article_articles_48658,gpt-4.1,6.0,8.0,10.0,6.0,9.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Lean Right,Right,economy,835
article_articles_48968,claude-sonnet-4-5,9.0,6.0,7.0,10.0,10.0,Right,Right,Right,Right,Right,10,0.5,0.0,Lean Right,Right,immigration_border,620
article_articles_48968,gpt-4.1,6.0,5.0,3.0,9.0,9.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.1,0.0,Lean Right,Right,immigration_border,620
article_articles_48993,claude-sonnet-4-5,10.0,7.0,9.0,11.0,8.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,crime_justice,1214
article_articles_48993,gpt-4.1,8.0,6.0,7.0,9.0,7.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,crime_justice,1214
article_articles_49356,claude-sonnet-4-5,15.0,11.0,11.0,18.0,15.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,1475
article_articles_49356,gpt-4.1,12.0,10.0,12.0,15.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,1475
article_articles_49594,claude-sonnet-4-5,11.0,10.0,15.0,15.0,13.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,social_culture_rights,687
article_articles_49594,gpt-4.1,11.0,15.0,17.0,14.0,11.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,social_culture_rights,687
article_articles_50177,claude-sonnet-4-5,7.0,6.0,9.0,5.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.5,Center,Center,elections_governance,1039
article_articles_50177,gpt-4.1,12.0,5.0,7.0,9.0,10.0,Center,Center,Center,Center,Center,10,0.0,0.1,Center,Center,elections_governance,1039
article_articles_50479,claude-sonnet-4-5,13.0,8.0,13.0,12.0,14.0,Right,Right,Right,Right,Right,10,0.2,0.0,Lean Right,Right,foreign_defense,686
article_articles_50479,gpt-4.1,8.0,5.0,12.0,10.0,11.0,Right,Right,Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,foreign_defense,686
article_articles_50512,claude-sonnet-4-5,4.0,0.0,0.0,4.0,6.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,crime_justice,932
article_articles_50512,gpt-4.1,2.0,2.0,2.0,5.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,crime_justice,932
article_articles_51445,claude-sonnet-4-5,4.0,4.0,4.0,4.0,6.0,Center,Center,Center,Center,Lean Right,10,0.0,0.2,Lean Right,Right,immigration_border,457
article_articles_51445,gpt-4.1,5.0,3.0,2.0,8.0,5.0,Center,Lean Right,Center,Center,,8,0.125,0.25,Lean Right,Right,immigration_border,457
article_articles_51448,claude-sonnet-4-5,11.0,8.0,12.0,17.0,13.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,health_education,731
article_articles_51448,gpt-4.1,11.0,7.0,9.0,11.0,10.0,Lean Right,Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,731
article_articles_51484,claude-sonnet-4-5,6.0,5.0,5.0,11.0,13.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,health_education,1168
article_articles_51484,gpt-4.1,11.0,10.0,5.0,9.0,7.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,health_education,1168
article_articles_51547,claude-sonnet-4-5,12.0,8.0,9.0,12.0,16.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,economy,1356
article_articles_51547,gpt-4.1,11.0,6.0,13.0,12.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,economy,1356
article_articles_51699,claude-sonnet-4-5,11.0,6.0,7.0,10.0,10.0,Lean Left,Left,Left,Lean Left,Lean Left,10,0.0,0.0,Left,Left,economy,1283
article_articles_51699,gpt-4.1,10.0,4.0,4.0,7.0,10.0,Lean Left,Center,Center,Center,Lean Left,10,0.0,0.5,Left,Left,economy,1283
article_articles_51700,claude-sonnet-4-5,11.0,8.0,7.0,11.0,14.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,elections_governance,910
article_articles_51700,gpt-4.1,10.0,7.0,12.0,10.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,910
article_articles_52431,claude-sonnet-4-5,5.0,4.0,4.0,5.0,8.0,Center,Center,Center,Center,Lean Left,10,0.0,0.1,Lean Right,Right,social_culture_rights,486
article_articles_52431,gpt-4.1,9.0,5.0,0.0,5.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,social_culture_rights,486
article_articles_52975,claude-sonnet-4-5,9.0,7.0,8.0,14.0,6.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,immigration_border,1448
article_articles_52975,gpt-4.1,15.0,6.0,6.0,8.0,6.0,Left,Left,Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,immigration_border,1448
article_articles_53644,claude-sonnet-4-5,6.0,5.0,5.0,8.0,7.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,social_culture_rights,622
article_articles_53644,gpt-4.1,6.0,5.0,4.0,7.0,6.0,Left,Left,Left,,Left,8,0.0,0.0,Left,Left,social_culture_rights,622
article_articles_54221,claude-sonnet-4-5,10.0,6.0,9.0,9.0,8.0,Left,Left,Left,Left,Lean Left,10,0.0,0.1,Left,Left,climate_energy,988
article_articles_54221,gpt-4.1,11.0,5.0,7.0,8.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,climate_energy,988
article_articles_55043,claude-sonnet-4-5,12.0,5.0,2.0,11.0,4.0,Center,Center,Center,Center,Lean Right,9,0.1111111111111111,0.0,Right,Right,foreign_defense,1121
article_articles_55043,gpt-4.1,11.0,9.0,0.0,10.0,12.0,Right,Right,Center,Right,Center,9,0.0,0.0,Right,Right,foreign_defense,1121
article_articles_55054,claude-sonnet-4-5,5.0,4.0,3.0,4.0,5.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.2,Lean Left,Left,social_culture_rights,573
article_articles_55054,gpt-4.1,4.0,3.0,0.0,5.0,2.0,Lean Left,Lean Left,Center,Lean Left,Left,10,0.0,0.1,Lean Left,Left,social_culture_rights,573
article_articles_7634,claude-sonnet-4-5,3.0,3.0,3.0,3.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,foreign_defense,469
article_articles_7634,gpt-4.1,4.0,2.0,0.0,2.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,foreign_defense,469
article_articles_9185,claude-sonnet-4-5,0.0,0.0,0.0,0.0,4.0,Lean Left,Left,Center,Lean Left,Lean Left,10,0.1,0.2,Lean Left,Left,social_culture_rights,538
article_articles_9185,gpt-4.1,4.0,0.0,0.0,6.0,2.0,Center,Center,Center,Center,Lean Left,10,0.0,0.2,Lean Left,Left,social_culture_rights,538
article_backup7_101004,claude-sonnet-4-5,8.0,7.0,8.0,8.0,10.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,557
article_backup7_101004,gpt-4.1,9.0,6.0,9.0,12.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,foreign_defense,557
article_backup7_1110,claude-sonnet-4-5,12.0,10.0,10.0,12.0,13.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,social_culture_rights,924
article_backup7_1110,gpt-4.1,11.0,11.0,10.0,20.0,11.0,Lean Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,social_culture_rights,924
article_backup7_121070,claude-sonnet-4-5,5.0,3.0,4.0,4.0,4.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Lean Left,Left,social_culture_rights,954
article_backup7_121070,gpt-4.1,4.0,2.0,0.0,5.0,3.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,social_culture_rights,954
article_backup7_121216,claude-sonnet-4-5,12.0,7.0,7.0,11.0,11.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,immigration_border,893
article_backup7_121216,gpt-4.1,7.0,8.0,9.0,9.0,9.0,Lean Right,Right,,Right,Right,8,0.0,0.0,Right,Right,immigration_border,893
article_backup7_121938,claude-sonnet-4-5,10.0,5.0,6.0,9.0,15.0,Left,Left,Left,Left,Lean Left,10,0.0,0.0,Left,Left,economy,914
article_backup7_121938,gpt-4.1,9.0,9.0,10.0,10.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,economy,914
article_backup7_124182,claude-sonnet-4-5,5.0,5.0,3.0,6.0,6.0,Center,Center,Center,Center,Lean Left,10,0.1,0.0,Lean Right,Right,crime_justice,1033
article_backup7_124182,gpt-4.1,7.0,3.0,0.0,10.0,6.0,,Center,Center,Center,Lean Left,8,0.125,0.0,Lean Right,Right,crime_justice,1033
article_backup7_133199,claude-sonnet-4-5,0.0,6.0,0.0,6.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,climate_energy,408
article_backup7_133199,gpt-4.1,9.0,8.0,9.0,9.0,7.0,Center,Center,Lean Right,Center,Center,8,0.25,0.125,Lean Right,Right,climate_energy,408
article_backup7_134165,claude-sonnet-4-5,12.0,7.0,13.0,14.0,14.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,climate_energy,775
article_backup7_134165,gpt-4.1,14.0,10.0,17.0,10.0,11.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,climate_energy,775
article_backup7_1441,claude-sonnet-4-5,9.0,9.0,6.0,9.0,9.0,Right,Right,Right,Right,Right,10,0.0,0.0,Lean Right,Right,health_education,771
article_backup7_1441,gpt-4.1,8.0,7.0,8.0,7.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,health_education,771
article_backup7_148538,claude-sonnet-4-5,9.0,6.0,0.0,10.0,14.0,Center,Center,Center,Center,Center,10,0.0,0.4,Lean Left,Left,foreign_defense,1402
article_backup7_148538,gpt-4.1,15.0,7.0,14.0,9.0,9.0,Center,Center,Center,Center,Lean Left,10,0.0,0.4,Lean Left,Left,foreign_defense,1402
article_backup7_150566,claude-sonnet-4-5,6.0,5.0,5.0,8.0,6.0,Left,Left,Left,Lean Left,Lean Left,10,0.0,0.1,Lean Left,Left,elections_governance,621
article_backup7_150566,gpt-4.1,6.0,2.0,3.0,6.0,5.0,Lean Left,Lean Left,Center,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,elections_governance,621
article_backup7_152976,claude-sonnet-4-5,5.0,4.0,4.0,8.0,7.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,crime_justice,551
article_backup7_152976,gpt-4.1,5.0,2.0,1.0,5.0,5.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Lean Right,Right,crime_justice,551
article_backup7_16046,claude-sonnet-4-5,12.0,9.0,8.0,10.0,12.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,climate_energy,850
article_backup7_16046,gpt-4.1,11.0,7.0,11.0,11.0,10.0,Lean Right,Right,Right,Lean Right,Right,10,0.2,0.0,Right,Right,climate_energy,850
article_backup7_16719,claude-sonnet-4-5,6.0,4.0,6.0,6.0,7.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,health_education,1093
article_backup7_16719,gpt-4.1,8.0,4.0,4.0,10.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,health_education,1093
article_backup7_169661,claude-sonnet-4-5,12.0,9.0,13.0,17.0,14.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,922
article_backup7_169661,gpt-4.1,12.0,7.0,12.0,13.0,8.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.0,Right,Right,elections_governance,922
article_backup7_170533,claude-sonnet-4-5,4.0,0.0,4.0,4.0,5.0,Lean Left,Left,Lean Left,Lean Left,Center,10,0.0,0.1,Lean Left,Left,crime_justice,940
article_backup7_170533,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Lean Left,Center,Center,,8,0.125,0.125,Lean Left,Left,crime_justice,940
article_backup7_180714,claude-sonnet-4-5,4.0,4.0,3.0,4.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,climate_energy,576
article_backup7_180714,gpt-4.1,3.0,4.0,0.0,2.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Right,Right,climate_energy,576
article_backup7_1847,claude-sonnet-4-5,9.0,5.0,8.0,11.0,10.0,Left,Left,Left,Left,Lean Left,10,0.1,0.0,Left,Left,crime_justice,906
article_backup7_1847,gpt-4.1,9.0,6.0,4.0,12.0,11.0,Left,Left,Left,Lean Left,Left,10,0.0,0.0,Left,Left,crime_justice,906
article_backup7_1889,claude-sonnet-4-5,19.0,11.0,12.0,19.0,18.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,social_culture_rights,1127
article_backup7_1889,gpt-4.1,15.0,10.0,8.0,14.0,10.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,social_culture_rights,1127
article_backup7_193865,claude-sonnet-4-5,7.0,4.0,5.0,8.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Lean Left,Left,health_education,532
article_backup7_193865,gpt-4.1,6.0,5.0,2.0,9.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,health_education,532
article_backup7_198966,claude-sonnet-4-5,8.0,6.0,8.0,8.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,878
article_backup7_198966,gpt-4.1,7.0,5.0,6.0,10.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Left,Left,health_education,878
article_backup7_2007,claude-sonnet-4-5,9.0,7.0,7.0,8.0,10.0,Right,Right,Right,Right,Right,10,0.6,0.0,Lean Right,Right,crime_justice,595
article_backup7_2007,gpt-4.1,8.0,6.0,11.0,7.0,10.0,Lean Right,Lean Right,Lean Right,,Right,8,0.125,0.0,Lean Right,Right,crime_justice,595
article_backup7_206207,claude-sonnet-4-5,11.0,5.0,8.0,10.0,9.0,Left,Left,Left,Left,Left,10,0.0,0.2,Lean Left,Left,climate_energy,935
article_backup7_206207,gpt-4.1,7.0,4.0,7.0,8.0,7.0,Lean Left,Left,Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,climate_energy,935
article_backup7_206269,claude-sonnet-4-5,8.0,5.0,7.0,10.0,8.0,Right,Right,Right,Right,Right,10,0.5,0.0,Right,Right,crime_justice,556
article_backup7_206269,gpt-4.1,6.0,5.0,3.0,7.0,6.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,crime_justice,556
article_backup7_20671,claude-sonnet-4-5,5.0,5.0,0.0,7.0,8.0,Lean Left,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,1166
article_backup7_20671,gpt-4.1,5.0,3.0,1.0,6.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.0,Lean Left,Left,elections_governance,1166
article_backup7_216005,claude-sonnet-4-5,14.0,8.0,12.0,15.0,20.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,health_education,663
article_backup7_216005,gpt-4.1,13.0,8.0,10.0,12.0,9.0,Left,Left,Left,,Left,8,0.0,0.0,Left,Left,health_education,663
article_backup7_216195,claude-sonnet-4-5,12.0,11.0,13.0,17.0,18.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,health_education,941
article_backup7_216195,gpt-4.1,14.0,12.0,14.0,14.0,14.0,Lean Right,Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,941
article_backup7_216213,claude-sonnet-4-5,7.0,6.0,5.0,7.0,7.0,Lean Left,Lean Left,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Left,Left,immigration_border,1001
article_backup7_216213,gpt-4.1,5.0,8.0,4.0,6.0,4.0,Center,Center,Center,Center,Center,10,0.0,0.1,Lean Left,Left,immigration_border,1001
article_backup7_216300,claude-sonnet-4-5,4.0,0.0,0.0,3.0,6.0,Lean Left,Left,Center,Lean Left,Center,10,0.0,0.2,Lean Left,Left,crime_justice,556
article_backup7_216300,gpt-4.1,2.0,0.0,0.0,4.0,1.0,Center,Lean Left,Center,Center,Center,10,0.1,0.3,Lean Left,Left,crime_justice,556
article_backup7_216572,claude-sonnet-4-5,7.0,3.0,3.0,4.0,4.0,Lean Left,Center,Lean Left,Lean Left,Center,10,0.0,0.0,Lean Left,Left,economy,589
article_backup7_216572,gpt-4.1,4.0,3.0,2.0,3.0,4.0,Center,Center,Center,Center,Lean Left,10,0.0,0.2,Lean Left,Left,economy,589
article_backup7_217175,claude-sonnet-4-5,7.0,4.0,4.0,7.0,8.0,Right,Right,Right,Right,Right,10,0.6,0.0,Right,Right,immigration_border,719
article_backup7_217175,gpt-4.1,8.0,5.0,5.0,7.0,8.0,Right,Right,Right,Right,Right,10,0.5,0.0,Right,Right,immigration_border,719
article_backup7_220628,claude-sonnet-4-5,4.0,4.0,3.0,4.0,2.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,870
article_backup7_220628,gpt-4.1,4.0,0.0,2.0,3.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.0,Center,Center,social_culture_rights,870
article_backup7_2209,claude-sonnet-4-5,26.0,9.0,16.0,23.0,20.0,Right,Right,Right,Right,Right,10,0.1,0.0,Right,Right,foreign_defense,537
article_backup7_2209,gpt-4.1,21.0,10.0,19.0,18.0,9.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,foreign_defense,537
article_backup7_221468,claude-sonnet-4-5,11.0,8.0,8.0,12.0,10.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Left,Left,crime_justice,1005
article_backup7_221468,gpt-4.1,5.0,5.0,4.0,9.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,crime_justice,1005
article_backup7_221718,claude-sonnet-4-5,8.0,6.0,7.0,10.0,14.0,Right,Right,Right,Right,Right,10,0.4,0.0,Lean Right,Right,climate_energy,1006
article_backup7_221718,gpt-4.1,12.0,7.0,6.0,9.0,12.0,Lean Right,,Lean Right,Lean Right,Lean Right,8,0.125,0.0,Lean Right,Right,climate_energy,1006
article_backup7_223715,claude-sonnet-4-5,6.0,5.0,4.0,7.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.2,Lean Left,Left,health_education,842
article_backup7_223715,gpt-4.1,3.0,2.0,1.0,5.0,4.0,Lean Left,Lean Left,Lean Left,Lean Left,Left,10,0.0,0.0,Lean Left,Left,health_education,842
article_backup7_226734,claude-sonnet-4-5,6.0,5.0,4.0,7.0,5.0,Right,Right,Right,Lean Right,Lean Right,10,0.6,0.0,Right,Right,crime_justice,628
article_backup7_226734,gpt-4.1,7.0,5.0,4.0,7.0,6.0,Lean Right,Right,Right,Lean Right,Lean Right,10,0.0,0.0,Right,Right,crime_justice,628
article_backup7_226794,claude-sonnet-4-5,8.0,5.0,5.0,9.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,elections_governance,819
article_backup7_226794,gpt-4.1,12.0,6.0,6.0,10.0,8.0,Center,Center,Center,Center,,8,0.0,0.0,Lean Right,Right,elections_governance,819
article_backup7_227044,claude-sonnet-4-5,9.0,5.0,5.0,9.0,5.0,Lean Left,Left,Center,Lean Left,Lean Left,10,0.1,0.0,Lean Right,Right,elections_governance,979
article_backup7_227044,gpt-4.1,7.0,3.0,0.0,6.0,7.0,Center,Center,Center,Center,Lean Left,10,0.0,0.1,Lean Right,Right,elections_governance,979
article_backup7_2273,claude-sonnet-4-5,6.0,5.0,5.0,7.0,8.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.1,0.2,Lean Right,Right,foreign_defense,490
article_backup7_2273,gpt-4.1,5.0,4.0,1.0,6.0,8.0,Lean Left,Lean Right,Lean Right,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,foreign_defense,490
article_backup7_227466,claude-sonnet-4-5,7.0,7.0,6.0,10.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.2,Left,Left,elections_governance,516
article_backup7_227466,gpt-4.1,7.0,4.0,7.0,8.0,8.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,elections_governance,516
article_backup7_227586,claude-sonnet-4-5,5.0,4.0,5.0,7.0,5.0,Lean Right,Right,Lean Right,Lean Right,Lean Right,10,0.1,0.0,Lean Right,Right,immigration_border,462
article_backup7_227586,gpt-4.1,4.0,3.0,3.0,5.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.1,0.0,Lean Right,Right,immigration_border,462
article_backup7_227770,claude-sonnet-4-5,8.0,6.0,5.0,8.0,8.0,Lean Left,Left,Lean Left,Lean Left,Lean Left,10,0.0,0.1,Lean Right,Right,climate_energy,580
article_backup7_227770,gpt-4.1,5.0,3.0,2.0,4.0,5.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,climate_energy,580
article_backup7_227794,claude-sonnet-4-5,9.0,6.0,5.0,10.0,13.0,Left,Left,Left,Left,Lean Left,10,0.0,0.3,Left,Left,health_education,720
article_backup7_227794,gpt-4.1,9.0,4.0,6.0,8.0,6.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Left,Left,health_education,720
article_backup7_228078,claude-sonnet-4-5,12.0,11.0,15.0,16.0,14.0,Right,Right,Right,Right,Right,10,0.2,0.0,Right,Right,health_education,1145
article_backup7_228078,gpt-4.1,18.0,9.0,15.0,14.0,10.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,1145
article_backup7_228892,claude-sonnet-4-5,12.0,8.0,8.0,12.0,13.0,Right,Right,Right,Right,Right,10,0.6,0.0,Right,Right,elections_governance,700
article_backup7_228892,gpt-4.1,12.0,7.0,4.0,7.0,14.0,Lean Right,Right,Right,Lean Right,Right,10,0.1,0.0,Right,Right,elections_governance,700
article_backup7_229014,claude-sonnet-4-5,6.0,4.0,5.0,7.0,7.0,Center,Lean Left,Center,Center,Center,10,0.0,0.3,Center,Center,elections_governance,833
article_backup7_229014,gpt-4.1,5.0,3.0,3.0,6.0,3.0,Center,Center,Center,Center,Center,10,0.0,0.2,Center,Center,elections_governance,833
article_backup7_229071,claude-sonnet-4-5,12.0,8.0,13.0,11.0,13.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,health_education,616
article_backup7_229071,gpt-4.1,16.0,9.0,12.0,12.0,8.0,Lean Right,Lean Right,Right,Lean Right,Right,10,0.0,0.0,Right,Right,health_education,616
article_backup7_229528,claude-sonnet-4-5,0.0,3.0,4.0,7.0,7.0,Center,Center,Center,Center,Center,10,0.0,0.1,Center,Center,foreign_defense,799
article_backup7_229528,gpt-4.1,6.0,0.0,5.0,5.0,0.0,Center,Center,Center,Center,Center,10,0.0,0.1,Center,Center,foreign_defense,799
article_backup7_229670,claude-sonnet-4-5,18.0,10.0,11.0,15.0,13.0,Left,Left,Left,Left,Left,10,0.0,0.1,Left,Left,immigration_border,761
article_backup7_229670,gpt-4.1,13.0,15.0,11.0,12.0,11.0,Left,Left,Left,Left,Left,10,0.0,0.0,Left,Left,immigration_border,761
article_backup7_229720,claude-sonnet-4-5,7.0,4.0,6.0,5.0,7.0,Right,Right,Right,Lean Right,Right,10,0.7,0.0,Lean Right,Right,climate_energy,600
article_backup7_229720,gpt-4.1,5.0,2.0,3.0,7.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Lean Right,10,0.0,0.1,Lean Right,Right,climate_energy,600
article_backup7_230115,claude-sonnet-4-5,15.0,15.0,19.0,21.0,18.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,901
article_backup7_230115,gpt-4.1,13.0,18.0,15.0,18.0,13.0,Right,Right,Right,Right,Right,10,0.0,0.0,Right,Right,elections_governance,901
article_backup7_230305,claude-sonnet-4-5,0.0,0.0,0.0,0.0,2.0,Center,Center,Center,Center,Center,2,0.0,0.0,Center,Center,economy,877
article_backup7_230305,gpt-4.1,0.0,0.0,0.0,0.0,0.0,Center,Center,Center,Center,Center,1,0.0,0.0,Center,Center,economy,877
article_backup7_230342,claude-sonnet-4-5,5.0,5.0,5.0,8.0,8.0,Right,Right,Right,Right,Lean Right,10,0.2,0.0,Right,Right,economy,639
article_backup7_230342,gpt-4.1,5.0,4.0,6.0,8.0,6.0,Lean Right,Lean Right,Lean Right,Lean Right,Right,10,0.0,0.0,Right,Right,economy,639
article_backup7_230536,claude-sonnet-4-5,16.0,6.0,12.0,20.0,10.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,elections_governance,1171
article_backup7_230536,gpt-4.1,11.0,9.0,9.0,10.0,10.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Right,Right,elections_governance,1171
article_backup7_230600,claude-sonnet-4-5,8.0,6.0,6.0,8.0,9.0,Lean Left,Lean Left,Lean Left,Lean Left,Lean Left,10,0.0,0.0,Lean Left,Left,foreign_defense,1481
