aid,model,role,true_lean,pred_lean,signed_err
article_articles_40078,claude-sonnet-4-6,judge,Right,Right,0
article_articles_40197,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_articles_41124,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_articles_41185,claude-sonnet-4-6,judge,Left,Left,0
article_articles_41235,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_articles_41291,claude-sonnet-4-6,judge,Center,Center,0
article_articles_41316,claude-sonnet-4-6,judge,Right,Right,0
article_articles_41903,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_articles_42775,claude-sonnet-4-6,judge,Right,Right,0
article_articles_42830,claude-sonnet-4-6,judge,Center,Center,0
article_articles_43193,claude-sonnet-4-6,judge,Left,Left,0
article_articles_43525,claude-sonnet-4-6,judge,Left,Left,0
article_articles_43536,claude-sonnet-4-6,judge,Left,Left,0
article_articles_43610,claude-sonnet-4-6,judge,Left,Left,0
article_articles_43877,claude-sonnet-4-6,judge,Right,Right,0
article_articles_43880,claude-sonnet-4-6,judge,Right,Right,0
article_articles_4419,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_articles_44539,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_articles_44566,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_articles_44574,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_articles_44844,claude-sonnet-4-6,judge,Lean Right,Right,1
article_articles_44848,claude-sonnet-4-6,judge,Lean Right,Center,-1
article_articles_44944,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_articles_44954,claude-sonnet-4-6,judge,Left,Left,0
article_articles_45500,claude-sonnet-4-6,judge,Center,Center,0
article_articles_45526,claude-sonnet-4-6,judge,Center,Center,0
article_articles_45868,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_articles_45872,claude-sonnet-4-6,judge,Left,Left,0
article_articles_45888,claude-sonnet-4-6,judge,Left,Left,0
article_articles_4693,claude-sonnet-4-6,judge,Lean Left,Center,1
article_articles_47628,claude-sonnet-4-6,judge,Left,Left,0
article_articles_47643,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_articles_48024,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_articles_48288,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_articles_48574,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_articles_48603,claude-sonnet-4-6,judge,Center,Center,0
article_articles_48630,claude-sonnet-4-6,judge,Left,Left,0
article_articles_48658,claude-sonnet-4-6,judge,Lean Right,Right,1
article_articles_48968,claude-sonnet-4-6,judge,Lean Right,Right,1
article_articles_48993,claude-sonnet-4-6,judge,Right,Right,0
article_articles_49356,claude-sonnet-4-6,judge,Left,Left,0
article_articles_49594,claude-sonnet-4-6,judge,Right,Right,0
article_articles_50177,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_articles_50479,claude-sonnet-4-6,judge,Lean Right,Right,1
article_articles_50512,claude-sonnet-4-6,judge,Center,Center,0
article_articles_51445,claude-sonnet-4-6,judge,Lean Right,Center,-1
article_articles_51448,claude-sonnet-4-6,judge,Right,Right,0
article_articles_51484,claude-sonnet-4-6,judge,Center,Center,0
article_articles_51547,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_articles_51699,claude-sonnet-4-6,judge,Left,Lean Left,1
article_articles_51700,claude-sonnet-4-6,judge,Left,Left,0
article_articles_52431,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_articles_52975,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_articles_53644,claude-sonnet-4-6,judge,Left,Left,0
article_articles_54221,claude-sonnet-4-6,judge,Left,Left,0
article_articles_55043,claude-sonnet-4-6,judge,Right,Center,-2
article_articles_55054,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_articles_7634,claude-sonnet-4-6,judge,Center,Center,0
article_articles_9185,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_101004,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_1110,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_121070,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_121216,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_121938,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_124182,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_129401,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_133199,claude-sonnet-4-6,judge,Lean Right,Center,-1
article_backup7_134165,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_1441,claude-sonnet-4-6,judge,Lean Right,Right,1
article_backup7_148538,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_150566,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_152976,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_backup7_16046,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_16719,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_169661,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_170533,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_180714,claude-sonnet-4-6,judge,Lean Right,Center,-1
article_backup7_1847,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_1889,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_193865,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_198966,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_2007,claude-sonnet-4-6,judge,Lean Right,Right,1
article_backup7_206207,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_backup7_206269,claude-sonnet-4-6,judge,Right,Lean Right,-1
article_backup7_20671,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_216005,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_216195,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_216213,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_216300,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_216572,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_217175,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_220628,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_backup7_2209,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_221468,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_221718,claude-sonnet-4-6,judge,Lean Right,Right,1
article_backup7_223715,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_226734,claude-sonnet-4-6,judge,Right,Lean Right,-1
article_backup7_226794,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_backup7_227044,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_2273,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_227466,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_227586,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_backup7_227770,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_228078,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_228892,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_229014,claude-sonnet-4-6,judge,Center,Lean Left,-1
article_backup7_229071,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_229528,claude-sonnet-4-6,judge,Center,Center,0
article_backup7_229670,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_229720,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_backup7_230115,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_230305,claude-sonnet-4-6,judge,Center,Center,0
article_backup7_230342,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_230536,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_230600,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_230627,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_232717,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_backup7_2338,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_234431,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_235646,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_235699,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_2373,claude-sonnet-4-6,judge,Left,Lean Left,1
article_backup7_287,claude-sonnet-4-6,judge,Lean Right,Right,1
article_backup7_31067,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_31690,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_37827,claude-sonnet-4-6,judge,Lean Right,Lean Right,0
article_backup7_43414,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_4386,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_4683,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_50218,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_50964,claude-sonnet-4-6,judge,Lean Left,Left,-1
article_backup7_5215,claude-sonnet-4-6,judge,Lean Right,Right,1
article_backup7_55602,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_56995,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_607,claude-sonnet-4-6,judge,Center,Center,0
article_backup7_62487,claude-sonnet-4-6,judge,Center,Center,0
article_backup7_6321,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_64099,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_72067,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_79597,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_821,claude-sonnet-4-6,judge,Right,Right,0
article_backup7_8351,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_93793,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_946,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_96330,claude-sonnet-4-6,judge,Left,Left,0
article_backup7_9752,claude-sonnet-4-6,judge,Lean Left,Lean Left,0
article_backup7_98512,claude-sonnet-4-6,judge,Lean Right,Lean Left,-2
article_backup7_99156,claude-sonnet-4-6,judge,Left,Left,0
article_articles_10206,gpt-5,judge,Center,Center,0
article_articles_12955,gpt-5,judge,Center,Lean Left,-1
article_articles_13182,gpt-5,judge,Center,Center,0
article_articles_13204,gpt-5,judge,Center,Lean Left,-1
article_articles_13438,gpt-5,judge,Center,Center,0
article_articles_13810,gpt-5,judge,Lean Right,Lean Right,0
article_articles_14044,gpt-5,judge,Center,Lean Left,-1
article_articles_147,gpt-5,judge,Lean Right,Center,-1
article_articles_1530,gpt-5,judge,Right,Lean Left,-3
article_articles_15488,gpt-5,judge,Center,Center,0
article_articles_15720,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_193,gpt-5,judge,Right,Lean Left,-3
article_articles_19753,gpt-5,judge,Lean Left,Lean Left,0
article_articles_20757,gpt-5,judge,Center,Center,0
article_articles_21068,gpt-5,judge,Left,Left,0
article_articles_21343,gpt-5,judge,Right,Lean Right,-1
article_articles_22116,gpt-5,judge,Lean Left,Lean Left,0
article_articles_22317,gpt-5,judge,Left,Left,0
article_articles_22548,gpt-5,judge,Left,Left,0
article_articles_23095,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_232,gpt-5,judge,Center,Lean Left,-1
article_articles_23339,gpt-5,judge,Center,Center,0
article_articles_24659,gpt-5,judge,Center,Lean Left,-1
article_articles_24711,gpt-5,judge,Right,Lean Right,-1
article_articles_24761,gpt-5,judge,Left,Left,0
article_articles_25205,gpt-5,judge,Right,Right,0
article_articles_26604,gpt-5,judge,Center,Lean Left,-1
article_articles_27127,gpt-5,judge,Center,Lean Right,1
article_articles_28076,gpt-5,judge,Left,Left,0
article_articles_28975,gpt-5,judge,Left,Left,0
article_articles_2951,gpt-5,judge,Lean Left,Lean Left,0
article_articles_2967,gpt-5,judge,Lean Left,Center,1
article_articles_3240,gpt-5,judge,Left,Lean Left,1
article_articles_32614,gpt-5,judge,Left,Left,0
article_articles_32706,gpt-5,judge,Center,Lean Left,-1
article_articles_33771,gpt-5,judge,Lean Left,Lean Left,0
article_articles_34110,gpt-5,judge,Right,Center,-2
article_articles_34901,gpt-5,judge,Lean Right,Lean Right,0
article_articles_36549,gpt-5,judge,Right,Left,-4
article_articles_36783,gpt-5,judge,Center,Center,0
article_articles_36873,gpt-5,judge,Center,Center,0
article_articles_37206,gpt-5,judge,Center,Lean Right,1
article_articles_37219,gpt-5,judge,Lean Left,Lean Left,0
article_articles_37227,gpt-5,judge,Center,Lean Left,-1
article_articles_37288,gpt-5,judge,Right,Right,0
article_articles_37916,gpt-5,judge,Left,Left,0
article_articles_38220,gpt-5,judge,Center,Lean Left,-1
article_articles_38504,gpt-5,judge,Left,Left,0
article_articles_38877,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_39265,gpt-5,judge,Center,Center,0
article_articles_39994,gpt-5,judge,Center,Lean Left,-1
article_articles_40070,gpt-5,judge,Lean Right,Lean Right,0
article_articles_40078,gpt-5,judge,Right,Right,0
article_articles_40197,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_41124,gpt-5,judge,Center,Lean Left,-1
article_articles_41185,gpt-5,judge,Left,Left,0
article_articles_41235,gpt-5,judge,Lean Left,Left,-1
article_articles_41291,gpt-5,judge,Center,Center,0
article_articles_41316,gpt-5,judge,Right,Lean Right,-1
article_articles_41903,gpt-5,judge,Lean Left,Left,-1
article_articles_42775,gpt-5,judge,Right,Right,0
article_articles_42830,gpt-5,judge,Center,Center,0
article_articles_43193,gpt-5,judge,Left,Left,0
article_articles_43525,gpt-5,judge,Left,Left,0
article_articles_43536,gpt-5,judge,Left,Left,0
article_articles_43610,gpt-5,judge,Left,Left,0
article_articles_43877,gpt-5,judge,Right,Right,0
article_articles_43880,gpt-5,judge,Right,Right,0
article_articles_4419,gpt-5,judge,Lean Left,Lean Left,0
article_articles_44539,gpt-5,judge,Center,Lean Left,-1
article_articles_44566,gpt-5,judge,Lean Left,Left,-1
article_articles_44574,gpt-5,judge,Center,Lean Left,-1
article_articles_44844,gpt-5,judge,Lean Right,Lean Right,0
article_articles_44848,gpt-5,judge,Lean Right,Center,-1
article_articles_44944,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_44954,gpt-5,judge,Left,Left,0
article_articles_45500,gpt-5,judge,Center,Center,0
article_articles_45526,gpt-5,judge,Center,Center,0
article_articles_45868,gpt-5,judge,Center,Lean Left,-1
article_articles_45872,gpt-5,judge,Left,Left,0
article_articles_45888,gpt-5,judge,Left,Left,0
article_articles_4693,gpt-5,judge,Lean Left,Center,1
article_articles_47628,gpt-5,judge,Left,Left,0
article_articles_47643,gpt-5,judge,Lean Left,Lean Left,0
article_articles_48024,gpt-5,judge,Lean Left,Lean Left,0
article_articles_48288,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_48574,gpt-5,judge,Lean Right,Lean Right,0
article_articles_48603,gpt-5,judge,Center,Lean Left,-1
article_articles_48630,gpt-5,judge,Left,Lean Left,1
article_articles_48658,gpt-5,judge,Lean Right,Lean Right,0
article_articles_48968,gpt-5,judge,Lean Right,Lean Right,0
article_articles_48993,gpt-5,judge,Right,Right,0
article_articles_49356,gpt-5,judge,Left,Left,0
article_articles_49594,gpt-5,judge,Right,Right,0
article_articles_50177,gpt-5,judge,Center,Lean Left,-1
article_articles_50479,gpt-5,judge,Lean Right,Lean Right,0
article_articles_50512,gpt-5,judge,Center,Center,0
article_articles_51445,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_51448,gpt-5,judge,Right,Right,0
article_articles_51484,gpt-5,judge,Center,Center,0
article_articles_51547,gpt-5,judge,Lean Left,Lean Left,0
article_articles_51699,gpt-5,judge,Left,Lean Left,1
article_articles_51700,gpt-5,judge,Left,Left,0
article_articles_52431,gpt-5,judge,Lean Right,Lean Left,-2
article_articles_52975,gpt-5,judge,Lean Left,Lean Left,0
article_articles_53644,gpt-5,judge,Left,Left,0
article_articles_54221,gpt-5,judge,Left,Left,0
article_articles_55043,gpt-5,judge,Right,Center,-2
article_articles_55054,gpt-5,judge,Lean Left,Lean Left,0
article_articles_7634,gpt-5,judge,Center,Center,0
article_articles_9185,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_101004,gpt-5,judge,Left,Left,0
article_backup7_1110,gpt-5,judge,Right,Right,0
article_backup7_121070,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_121216,gpt-5,judge,Right,Right,0
article_backup7_121938,gpt-5,judge,Left,Left,0
article_backup7_124182,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_129401,gpt-5,judge,Left,Left,0
article_backup7_133199,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_134165,gpt-5,judge,Right,Right,0
article_backup7_1441,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_148538,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_150566,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_152976,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_16046,gpt-5,judge,Right,Lean Right,-1
article_backup7_16719,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_169661,gpt-5,judge,Right,Lean Right,-1
article_backup7_170533,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_180714,gpt-5,judge,Lean Right,Center,-1
article_backup7_1847,gpt-5,judge,Left,Lean Left,1
article_backup7_1889,gpt-5,judge,Right,Right,0
article_backup7_193865,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_198966,gpt-5,judge,Left,Lean Left,1
article_backup7_2007,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_206207,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_206269,gpt-5,judge,Right,Center,-2
article_backup7_20671,gpt-5,judge,Lean Left,Center,1
article_backup7_216005,gpt-5,judge,Left,Left,0
article_backup7_216195,gpt-5,judge,Right,Right,0
article_backup7_216213,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_216300,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_216572,gpt-5,judge,Lean Left,Center,1
article_backup7_217175,gpt-5,judge,Right,Right,0
article_backup7_220628,gpt-5,judge,Center,Center,0
article_backup7_2209,gpt-5,judge,Right,Right,0
article_backup7_221468,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_221718,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_223715,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_226734,gpt-5,judge,Right,Lean Right,-1
article_backup7_226794,gpt-5,judge,Lean Right,Center,-1
article_backup7_227044,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_2273,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_227466,gpt-5,judge,Left,Left,0
article_backup7_227586,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_227770,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_228078,gpt-5,judge,Right,Lean Right,-1
article_backup7_228892,gpt-5,judge,Right,Right,0
article_backup7_229014,gpt-5,judge,Center,Lean Left,-1
article_backup7_229071,gpt-5,judge,Right,Lean Right,-1
article_backup7_229528,gpt-5,judge,Center,Center,0
article_backup7_229670,gpt-5,judge,Left,Left,0
article_backup7_229720,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_230115,gpt-5,judge,Right,Right,0
article_backup7_230305,gpt-5,judge,Center,Center,0
article_backup7_230342,gpt-5,judge,Right,Right,0
article_backup7_230536,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_230600,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_230627,gpt-5,judge,Lean Left,Lean Right,2
article_backup7_232717,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_2338,gpt-5,judge,Right,Right,0
article_backup7_234431,gpt-5,judge,Lean Left,Center,1
article_backup7_235646,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_235699,gpt-5,judge,Lean Right,Lean Left,-2
article_backup7_2373,gpt-5,judge,Left,Lean Left,1
article_backup7_287,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_31067,gpt-5,judge,Right,Right,0
article_backup7_31690,gpt-5,judge,Left,Left,0
article_backup7_37827,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_43414,gpt-5,judge,Right,Right,0
article_backup7_4386,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_4683,gpt-5,judge,Left,Left,0
article_backup7_50218,gpt-5,judge,Lean Right,Center,-1
article_backup7_50964,gpt-5,judge,Lean Left,Left,-1
article_backup7_5215,gpt-5,judge,Lean Right,Lean Right,0
article_backup7_55602,gpt-5,judge,Right,Right,0
article_backup7_56995,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_607,gpt-5,judge,Center,Center,0
article_backup7_62487,gpt-5,judge,Center,Center,0
article_backup7_6321,gpt-5,judge,Right,Lean Right,-1
article_backup7_64099,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_72067,gpt-5,judge,Right,Lean Right,-1
article_backup7_79597,gpt-5,judge,Lean Left,Lean Left,0
article_backup7_821,gpt-5,judge,Right,Right,0
article_backup7_8351,gpt-5,judge,Left,Left,0
article_backup7_93793,gpt-5,judge,Lean Left,Center,1
article_backup7_946,gpt-5,judge,Left,Left,0
article_backup7_96330,gpt-5,judge,Left,Left,0
article_backup7_9752,gpt-5,judge,Lean Left,Center,1
article_backup7_98512,gpt-5,judge,Lean Right,Left,-3
article_backup7_99156,gpt-5,judge,Left,Lean Left,1
